category,machine,mode,language,impl,variant,memory_model,optimization_type,optimization_param,fp,nx,ny,nz,N,time_sec,performance_gflops,error,real_sec,user_sec,sys_sec,source_file
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,32,32,32,32,32768,2.922520e-01,47.76235,4.777080e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,32,64,64,64,262144,8.809200e-02,316.9106,1.214079e-05,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,32,128,128,128,2097152,4.832500e-02,1155.397,4.813602e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,32,256,256,256,16777216,7.453000e-02,1498.311,1.186005e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,32,512,512,512,134217728,1.661220e-01,1344.423,3.069118e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.32_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,64,32,32,32,32768,2.618220e-01,53.31349,4.342730e-15,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,64,64,64,64,262144,7.986000e-02,349.5779,1.448847e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,64,128,128,128,2097152,5.042400e-02,1107.302,4.691528e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,64,256,256,256,16777216,9.654800e-02,1156.618,1.877011e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,gpu,cpp,openacc,auto.def,managed,baseline,,64,512,512,512,134217728,2.919240e-01,765.0563,7.088435e-09,,,,Miyabi/A1.C++.acc.auto.def/log/bench.gpu.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,32,32,32,32,32768,2.600840e-01,53.66975,4.777080e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,32,64,64,64,262144,7.830900e-02,356.5016,1.214079e-05,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,32,128,128,128,2097152,4.662500e-02,1197.524,4.813602e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,32,256,256,256,16777216,8.016300e-02,1393.026,1.186005e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,32,512,512,512,134217728,2.362150e-01,945.4874,3.069118e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.32_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,64,32,32,32,32768,2.632060e-01,53.03315,4.342730e-15,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,64,64,64,64,262144,7.972400e-02,350.1742,1.448847e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,64,128,128,128,2097152,5.215900e-02,1070.469,4.691528e-06,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,64,256,256,256,16777216,9.333400e-02,1196.447,1.877011e-07,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.64_run.csv
non-Kokkos,miyabi,uni,cpp,openacc,auto.def,unified,baseline,,64,512,512,512,134217728,2.801540e-01,797.1983,7.088435e-09,,,,Miyabi/A1.C++.acc.auto.def/log/bench.uni.64_run.csv
